"symboling","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","horsepower","peak.rpm","price","area","mpg","cluster","kmeans","hcpc","hc.complete","hc.avg","hc.ward.D2"
"1","dodge","gas","std","four","sedan","fwd","front",93.7,50.6,1989,"ohc","four",90,"2bbl",2.97,68,5500,7609,10035.74,34.5,"2","2","1","1","2","1"
"1","dodge","gas","turbo","four","sedan","fwd","front",93.7,50.6,2191,"ohc","four",98,"mpfi",3.03,102,5500,8558,10035.74,27,"2","2","1","1","2","1"
"-1","dodge","gas","std","four","wagon","fwd","front",103.3,59.8,2535,"ohc","four",122,"2bbl",3.34,88,5000,8921,11279.16,27,"1","1","2","1","2","1"
"3","dodge","gas","turbo","two","hatchback","fwd","front",95.9,50.2,2811,"ohc","four",156,"mfi",3.6,145,5000,12964,11483.16,21.5,"1","1","2","2","1","1"
"2","honda","gas","std","two","hatchback","fwd","front",86.6,50.8,1713,"ohc","four",92,"1bbl",2.91,58,4800,6479,9239.94,51.5,"2","2","1","1","3","1"
"2","honda","gas","std","two","hatchback","fwd","front",86.6,50.8,1819,"ohc","four",92,"1bbl",2.91,76,6000,6855,9239.94,34.5,"2","2","1","1","2","1"
"1","honda","gas","std","two","hatchback","fwd","front",93.7,52.6,1837,"ohc","four",79,"1bbl",2.91,60,5500,5399,9600,40,"2","2","1","1","2","1"
"1","honda","gas","std","two","hatchback","fwd","front",93.7,52.6,1940,"ohc","four",92,"1bbl",2.91,76,6000,6529,9600,32,"2","2","1","1","2","1"
"1","honda","gas","std","two","hatchback","fwd","front",93.7,52.6,1956,"ohc","four",92,"1bbl",2.91,76,6000,7129,9600,32,"2","2","1","1","2","1"
"0","honda","gas","std","four","sedan","fwd","front",96.5,54.5,2010,"ohc","four",92,"1bbl",2.91,76,6000,7295,10457.6,32,"2","2","1","1","2","1"
"0","honda","gas","std","four","wagon","fwd","front",96.5,58.3,2024,"ohc","four",92,"1bbl",2.92,76,6000,7295,10038.69,32,"2","2","1","1","2","1"
"0","honda","gas","std","two","hatchback","fwd","front",96.5,53.3,2236,"ohc","four",110,"1bbl",3.15,86,5800,7895,10921,30,"2","2","1","1","2","1"
"0","honda","gas","std","two","hatchback","fwd","front",96.5,53.3,2289,"ohc","four",110,"1bbl",3.15,86,5800,9095,10921,30,"2","2","1","1","2","1"
"0","honda","gas","std","four","sedan","fwd","front",96.5,54.1,2304,"ohc","four",110,"1bbl",3.15,86,5800,8845,11436.08,30,"2","2","1","1","2","1"
"0","honda","gas","std","four","sedan","fwd","front",96.5,54.1,2372,"ohc","four",110,"1bbl",3.15,86,5800,10295,10962.5,30,"2","2","1","1","2","1"
"0","honda","gas","std","four","sedan","fwd","front",96.5,54.1,2465,"ohc","four",110,"mpfi",3.15,101,5800,12945,11436.08,26,"1","1","2","1","2","1"
"1","honda","gas","std","two","sedan","fwd","front",96.5,51,2293,"ohc","four",110,"2bbl",3.15,100,5500,10345,11160.6,28,"2","2","2","1","2","1"
"0","isuzu","gas","std","four","sedan","rwd","front",94.3,53.5,2337,"ohc","four",111,"2bbl",3.31,78,4800,6785,10549.26,26.5,"1","1","1","1","2","1"
"1","isuzu","gas","std","two","sedan","fwd","front",94.5,52,1874,"ohc","four",90,"2bbl",3.03,70,5400,5515.94734251582,9915.24,40.5,"2","2","1","1","2","1"
"0","isuzu","gas","std","four","sedan","fwd","front",94.5,52,1909,"ohc","four",90,"2bbl",3.03,70,5400,5668.56574740574,9915.24,40.5,"2","2","1","1","2","1"
"2","isuzu","gas","std","two","hatchback","rwd","front",96,51.4,2734,"ohc","four",119,"spfi",3.43,90,5000,11048,11253.52,26.5,"1","1","2","1","2","1"
"0","jaguar","gas","std","four","sedan","rwd","front",113,52.8,4066,"dohc","six",258,"mpfi",3.63,176,4750,32250,13892.16,17,"3","3","3","2","4","2"
"0","jaguar","gas","std","four","sedan","rwd","front",113,52.8,4066,"dohc","six",258,"mpfi",3.63,176,4750,35550,13892.16,17,"3","3","3","2","4","2"
"0","jaguar","gas","std","two","sedan","rwd","front",102,47.8,3950,"ohcv","twelve",326,"mpfi",3.54,262,5000,36000,13534.02,15,"3","3","3","2","5","2"
"1","mazda","gas","std","two","hatchback","fwd","front",93.1,54.1,1890,"ohc","four",91,"2bbl",3.03,68,5000,5195,10214.22,30.5,"2","2","1","1","2","1"
"1","mazda","gas","std","two","hatchback","fwd","front",93.1,54.1,1900,"ohc","four",91,"2bbl",3.03,68,5000,6095,10214.22,34.5,"2","2","1","1","2","1"
"1","mazda","gas","std","two","hatchback","fwd","front",93.1,54.1,1905,"ohc","four",91,"2bbl",3.03,68,5000,6795,10214.22,34.5,"2","2","1","1","2","1"
"1","mazda","gas","std","four","sedan","fwd","front",93.1,54.1,1945,"ohc","four",91,"2bbl",3.03,68,5000,6695,10708.56,34.5,"2","2","1","1","2","1"
"1","mazda","gas","std","four","sedan","fwd","front",93.1,54.1,1950,"ohc","four",91,"2bbl",3.08,68,5000,7395,10708.56,34.5,"2","2","1","1","2","1"
"3","mazda","gas","std","two","hatchback","rwd","front",95.3,49.6,2380,"rotor","two",70,"4bbl",3.32975124378109,101,6000,10945,11103.3,20,"1","1","2","1","2","1"
"3","mazda","gas","std","two","hatchback","rwd","front",95.3,49.6,2380,"rotor","two",70,"4bbl",3.32975124378109,101,6000,11845,11103.3,20,"1","1","2","1","2","1"
"3","mazda","gas","std","two","hatchback","rwd","front",95.3,49.6,2385,"rotor","two",70,"4bbl",3.32975124378109,101,6000,13645,11103.3,20,"1","1","2","1","2","1"
"3","mazda","gas","std","two","hatchback","rwd","front",95.3,49.6,2500,"rotor","two",80,"mpfi",3.32975124378109,135,6000,15645,11103.3,19.5,"1","1","2","1","2","1"
"1","mazda","gas","std","two","hatchback","fwd","front",98.8,53.7,2385,"ohc","four",122,"2bbl",3.39,84,4800,8845,11823.7,29,"1","1","2","2","2","1"
"0","mazda","gas","std","four","sedan","fwd","front",98.8,55.5,2410,"ohc","four",122,"2bbl",3.39,84,4800,8495,11823.7,29,"1","1","2","2","2","1"
"1","mazda","gas","std","two","hatchback","fwd","front",98.8,53.7,2385,"ohc","four",122,"2bbl",3.39,84,4800,10595,11823.7,29,"1","1","2","2","2","1"
"0","mazda","gas","std","four","sedan","fwd","front",98.8,55.5,2410,"ohc","four",122,"2bbl",3.39,84,4800,10245,11823.7,29,"1","1","2","2","2","1"
"0","mazda","diesel","std","four","sedan","fwd","front",98.8,55.5,2443,"ohc","four",122,"idi",3.39,64,4650,10795,11823.7,39,"2","2","1","1","2","1"
"0","mazda","gas","std","four","hatchback","fwd","front",98.8,55.5,2425,"ohc","four",122,"2bbl",3.39,84,4800,11245,11823.7,29,"1","1","2","2","2","1"
"0","mazda","gas","std","four","sedan","rwd","front",104.9,54.4,2670,"ohc","four",140,"mpfi",3.76,120,5000,18280,11567.5,23,"1","1","2","2","1","1"
"0","mazda","diesel","std","four","sedan","rwd","front",104.9,54.4,2700,"ohc","four",134,"idi",3.43,72,4200,18344,11567.5,35,"1","1","2","2","2","1"
"-1","mercedes-benz","diesel","turbo","four","sedan","rwd","front",110,56.5,3515,"ohc","five",183,"idi",3.58,123,4350,25552,13420.27,23.5,"3","3","3","2","1","2"
"-1","mercedes-benz","diesel","turbo","four","wagon","rwd","front",110,58.7,3750,"ohc","five",183,"idi",3.58,123,4350,28248,13420.27,23.5,"3","3","3","2","1","2"
"0","mercedes-benz","diesel","turbo","two","hardtop","rwd","front",106.7,54.9,3495,"ohc","five",183,"idi",3.58,123,4350,28176,13181.25,23.5,"3","3","3","2","1","2"
"-1","mercedes-benz","diesel","turbo","four","sedan","rwd","front",115.6,56.3,3770,"ohc","five",183,"idi",3.58,123,4350,31600,14526.42,23.5,"3","3","3","2","1","2"
"-1","mercedes-benz","gas","std","four","sedan","rwd","front",115.6,56.5,3740,"ohcv","eight",234,"mpfi",3.46,155,4750,34184,14526.42,17,"3","3","3","2","4","2"
"3","mercedes-benz","gas","std","two","convertible","rwd","front",96.6,50.8,3685,"ohcv","eight",234,"mpfi",3.46,155,4750,35056,12711.15,17,"3","3","3","2","1","1"
"0","mercedes-benz","gas","std","four","sedan","rwd","front",120.9,56.7,3900,"ohcv","eight",308,"mpfi",3.8,184,4500,40960,14920.77,15,"3","3","3","2","4","2"
"1","mercedes-benz","gas","std","two","hardtop","rwd","front",112,55.4,3715,"ohcv","eight",304,"mpfi",3.8,184,4500,45400,14342.4,15,"3","3","3","2","4","2"
"1","mercury","gas","turbo","two","hatchback","rwd","front",102.7,54.8,2910,"ohc","four",140,"mpfi",3.78,175,5000,16503,12131.2,21.5,"3","3","3","2","1","2"
"2","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,50.8,1918,"ohc","four",92,"2bbl",2.97,68,5500,5389,10130.12,39,"2","2","1","1","2","1"
"2","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,50.8,1944,"ohc","four",92,"2bbl",2.97,68,5500,6189,10130.12,34.5,"2","2","1","1","2","1"
"2","mitsubishi","gas","std","two","hatchback","fwd","front",93.7,50.8,2004,"ohc","four",92,"2bbl",2.97,68,5500,6669,10130.12,34.5,"2","2","1","1","2","1"
"1","mitsubishi","gas","turbo","two","hatchback","fwd","front",93,50.8,2145,"ohc","four",98,"spdi",3.03,102,5500,7689,10035.74,27,"2","2","1","1","2","1"
"3","mitsubishi","gas","turbo","two","hatchback","fwd","front",96.3,49.4,2370,"ohc","four",110,"spdi",3.17,116,5500,9959,11314.2,26.5,"1","1","2","1","2","1"
"3","mitsubishi","gas","std","two","hatchback","fwd","front",96.3,49.4,2328,"ohc","four",122,"2bbl",3.35,88,5000,8499,11314.2,28.5,"1","1","2","1","2","1"
"3","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,50.2,2833,"ohc","four",156,"spdi",3.58,145,5000,12629,11483.16,21.5,"1","1","2","2","1","1"
"3","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,50.2,2921,"ohc","four",156,"spdi",3.59,145,5000,14869,11483.16,21.5,"1","1","2","2","1","1"
"3","mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,50.2,2926,"ohc","four",156,"spdi",3.59,145,5000,14489,11483.16,21.5,"1","1","2","2","1","1"
"1","mitsubishi","gas","std","four","sedan","fwd","front",96.3,51.6,2365,"ohc","four",122,"2bbl",3.35,88,5000,6989,11274.96,28.5,"1","1","2","1","2","1"
"1","mitsubishi","gas","std","four","sedan","fwd","front",96.3,51.6,2405,"ohc","four",122,"2bbl",3.35,88,5000,8189,11274.96,28.5,"1","1","2","1","2","1"
"1","mitsubishi","gas","turbo","four","sedan","fwd","front",96.3,51.6,2403,"ohc","four",110,"spdi",3.17,116,5500,9279,11274.96,26.5,"1","1","2","1","2","1"
"-1","mitsubishi","gas","std","four","sedan","fwd","front",96.3,51.6,2403,"ohc","four",110,"spdi",3.17,116,5500,9279,11274.96,26.5,"1","1","2","1","2","1"
"1","nissan","gas","std","two","sedan","fwd","front",94.5,54.5,1889,"ohc","four",97,"2bbl",3.15,69,5200,5499,10546.14,34,"2","2","1","1","2","1"
"1","nissan","diesel","std","two","sedan","fwd","front",94.5,54.5,2017,"ohc","four",103,"idi",2.99,55,4800,7099,10546.14,47.5,"2","2","1","1","2","1"
"1","nissan","gas","std","two","sedan","fwd","front",94.5,54.5,1918,"ohc","four",97,"2bbl",3.15,69,5200,6649,10546.14,34,"2","2","1","1","2","1"
"1","nissan","gas","std","four","sedan","fwd","front",94.5,54.5,1938,"ohc","four",97,"2bbl",3.15,69,5200,6849,10546.14,34,"2","2","1","1","2","1"
"1","nissan","gas","std","four","wagon","fwd","front",94.5,53.5,2024,"ohc","four",97,"2bbl",3.15,69,5200,7349,10858.76,34,"2","2","1","1","2","1"
"1","nissan","gas","std","two","sedan","fwd","front",94.5,54.5,1951,"ohc","four",97,"2bbl",3.15,69,5200,7299,10546.14,34,"2","2","1","1","2","1"
"1","nissan","gas","std","two","hatchback","fwd","front",94.5,53.3,2028,"ohc","four",97,"2bbl",3.15,69,5200,7799,10565.28,34,"2","2","1","1","2","1"
"1","nissan","gas","std","four","sedan","fwd","front",94.5,54.5,1971,"ohc","four",97,"2bbl",3.15,69,5200,7499,10546.14,34,"2","2","1","1","2","1"
"1","nissan","gas","std","four","wagon","fwd","front",94.5,53.5,2037,"ohc","four",97,"2bbl",3.15,69,5200,7999,10858.76,34,"2","2","1","1","2","1"
"2","nissan","gas","std","two","hardtop","fwd","front",95.1,53.3,2008,"ohc","four",97,"2bbl",3.15,69,5200,8249,10361.12,34,"2","2","1","1","2","1"
"0","nissan","gas","std","four","hatchback","fwd","front",97.2,54.7,2324,"ohc","four",120,"2bbl",3.33,97,5200,8949,11305.68,30.5,"1","1","2","1","2","1"
"0","nissan","gas","std","four","sedan","fwd","front",97.2,54.7,2302,"ohc","four",120,"2bbl",3.33,97,5200,9549,11305.68,30.5,"1","1","2","1","2","1"
"0","nissan","gas","std","four","sedan","fwd","front",100.4,55.1,3095,"ohcv","six",181,"mpfi",3.43,152,5200,13499,12083.05,19.5,"3","3","3","2","1","2"
"0","nissan","gas","std","four","wagon","fwd","front",100.4,56.1,3296,"ohcv","six",181,"mpfi",3.43,152,5200,14399,12275.9,19.5,"3","3","3","2","1","2"
"0","nissan","gas","std","four","sedan","fwd","front",100.4,55.1,3060,"ohcv","six",181,"mpfi",3.43,152,5200,13499,12275.9,22,"3","3","3","2","1","2"
"3","nissan","gas","std","two","hatchback","rwd","front",91.3,49.7,3071,"ohcv","six",181,"mpfi",3.43,160,5200,17199,11590.53,22,"1","1","2","2","1","1"
"3","nissan","gas","turbo","two","hatchback","rwd","front",91.3,49.7,3139,"ohcv","six",181,"mpfi",3.43,200,5200,19699,11590.53,20,"1","1","2","2","1","1"
"1","nissan","gas","std","two","hatchback","rwd","front",99.2,49.7,3139,"ohcv","six",181,"mpfi",3.43,160,5200,18399,12120.15,22,"1","1","2","2","1","1"
"0","peugot","gas","std","four","sedan","rwd","front",107.9,56.7,3020,"l","four",120,"mpfi",3.46,97,5000,11900,12770.28,21.5,"3","3","3","2","1","2"
"0","peugot","diesel","turbo","four","sedan","rwd","front",107.9,56.7,3197,"l","four",152,"idi",3.7,95,4150,13200,12770.28,30.5,"3","3","3","2","1","2"
"0","peugot","gas","std","four","wagon","rwd","front",114.2,58.7,3230,"l","four",120,"mpfi",3.46,97,5000,12440,13604.76,21.5,"3","3","3","2","1","2"
"0","peugot","diesel","turbo","four","wagon","rwd","front",114.2,58.7,3430,"l","four",152,"idi",3.7,95,4150,13860,13604.76,25,"3","3","3","2","1","2"
"0","peugot","gas","std","four","sedan","rwd","front",107.9,56.7,3075,"l","four",120,"mpfi",3.46,95,5000,15580,12770.28,21.5,"3","3","3","2","1","2"
"0","peugot","diesel","turbo","four","sedan","rwd","front",107.9,56.7,3252,"l","four",152,"idi",3.7,95,4150,16900,12770.28,30.5,"3","3","3","2","1","2"
"0","peugot","gas","std","four","wagon","rwd","front",114.2,56.7,3285,"l","four",120,"mpfi",3.46,95,5000,16695,13604.76,21.5,"3","3","3","2","1","2"
"0","peugot","diesel","turbo","four","wagon","rwd","front",114.2,58.7,3485,"l","four",152,"idi",3.7,95,4150,17075,13604.76,25,"3","3","3","2","1","2"
"0","peugot","gas","std","four","sedan","rwd","front",107.9,56.7,3075,"l","four",120,"mpfi",3.46,97,5000,16630,12770.28,21.5,"3","3","3","2","1","2"
"0","peugot","diesel","turbo","four","sedan","rwd","front",107.9,56.7,3252,"l","four",152,"idi",3.7,95,4150,17950,12770.28,30.5,"3","3","3","2","1","2"
"0","peugot","gas","turbo","four","sedan","rwd","front",108,56,3130,"l","four",134,"mpfi",3.61,142,5600,18150,12751.61,21,"3","3","3","2","1","2"
"1","plymouth","gas","std","two","hatchback","fwd","front",93.7,50.8,1918,"ohc","four",90,"2bbl",2.97,68,5500,5572,10035.74,39,"2","2","1","1","2","1"
"1","plymouth","gas","turbo","two","hatchback","fwd","front",93.7,50.8,2128,"ohc","four",98,"spdi",3.03,102,5500,7957,10035.74,27,"2","2","1","1","2","1"
"1","plymouth","gas","std","four","hatchback","fwd","front",93.7,50.6,1967,"ohc","four",90,"2bbl",2.97,68,5500,6229,10035.74,34.5,"2","2","1","1","2","1"
"1","plymouth","gas","std","four","sedan","fwd","front",93.7,50.8,1989,"ohc","four",90,"2bbl",2.97,68,5500,6692,10673.74,34.5,"2","2","1","1","2","1"
"1","plymouth","gas","std","four","sedan","fwd","front",93.7,50.8,2191,"ohc","four",98,"2bbl",2.97,68,5500,7609,10673.74,34.5,"2","2","1","1","2","1"
"-1","plymouth","gas","std","four","wagon","fwd","front",103.3,59.8,2535,"ohc","four",122,"2bbl",3.35,88,5000,8921,11279.16,27,"1","1","2","1","2","1"
"3","plymouth","gas","turbo","two","hatchback","rwd","front",95.9,50.2,2818,"ohc","four",156,"spdi",3.59,145,5000,12764,11483.16,21.5,"1","1","2","2","1","1"
"3","porsche","gas","std","two","hatchback","rwd","front",94.5,50.2,2778,"ohc","four",151,"mpfi",3.94,143,5500,22018,11535.87,23,"1","1","2","2","1","1"
"3","porsche","gas","std","two","hardtop","rwd","rear",89.5,51.6,2756,"ohcf","six",194,"mpfi",3.74,207,5900,32528,10978.5,21,"1","1","2","2","1","1"
"3","porsche","gas","std","two","hardtop","rwd","rear",89.5,51.6,2756,"ohcf","six",194,"mpfi",3.74,207,5900,34028,10978.5,21,"1","1","2","2","1","1"
"3","porsche","gas","std","two","convertible","rwd","rear",89.5,51.6,2800,"ohcf","six",194,"mpfi",3.74,207,5900,37028,10978.5,21,"1","1","2","2","1","1"
"1","porsche","gas","std","two","hatchback","rwd","front",98.4,50.5,3366,"dohcv","eight",203,"mpfi",3.94,288,5750,32283.4080215401,12703.11,22.5,"3","3","3","2","5","1"
"0","renault","gas","std","four","wagon","fwd","front",96.1,55.2,2579,"ohc","four",132,"mpfi",3.46,104.256157635468,5125.36945812808,9295,12069.75,27,"1","1","2","2","1","1"
"2","renault","gas","std","two","hatchback","fwd","front",96.1,50.5,2460,"ohc","four",132,"mpfi",3.46,104.256157635468,5125.36945812808,9895,11774.88,27,"1","1","2","1","2","1"
"3","saab","gas","std","two","hatchback","fwd","front",99.1,56.1,2658,"ohc","four",121,"mpfi",3.54,110,5250,11850,12408.9,24.5,"1","1","2","2","1","1"
"2","saab","gas","std","four","sedan","fwd","front",99.1,56.1,2695,"ohc","four",121,"mpfi",3.54,110,5250,12170,12408.9,24.5,"1","1","2","2","1","1"
"3","saab","gas","std","two","hatchback","fwd","front",99.1,56.1,2707,"ohc","four",121,"mpfi",2.54,110,5250,15040,12408.9,24.5,"2","2","2","2","2","1"
"2","saab","gas","std","four","sedan","fwd","front",99.1,56.1,2758,"ohc","four",121,"mpfi",3.54,110,5250,15510,12408.9,24.5,"1","1","2","2","1","1"
"3","saab","gas","turbo","two","hatchback","fwd","front",99.1,56.1,2808,"dohc","four",121,"mpfi",3.54,160,5500,18150,12408.9,22.5,"1","1","2","2","1","2"
"2","saab","gas","turbo","four","sedan","fwd","front",99.1,56.1,2847,"dohc","four",121,"mpfi",3.54,160,5500,18620,12408.9,22.5,"1","1","2","2","1","2"
"2","subaru","gas","std","two","hatchback","fwd","front",93.7,53.7,2050,"ohcf","four",97,"2bbl",3.62,69,4900,5118,9947.46,33.5,"2","2","1","1","2","1"
"2","subaru","gas","std","two","hatchback","fwd","front",93.7,53.7,2120,"ohcf","four",108,"2bbl",3.62,73,4400,7053,10042.44,28.5,"1","1","1","1","2","1"
"2","subaru","gas","std","two","hatchback","4wd","front",93.3,55.7,2240,"ohcf","four",108,"2bbl",3.62,73,4400,7603,10035.74,28.5,"1","1","1","1","2","1"
"0","subaru","gas","std","four","sedan","fwd","front",97.2,52.5,2145,"ohcf","four",108,"2bbl",3.62,82,4800,7126,11248.8,34.5,"1","1","1","1","2","1"
"0","subaru","gas","std","four","sedan","fwd","front",97.2,52.5,2190,"ohcf","four",108,"2bbl",3.62,82,4400,7775,11248.8,30.5,"1","1","2","1","2","1"
"0","subaru","gas","std","four","sedan","fwd","front",97.2,52.5,2340,"ohcf","four",108,"mpfi",3.62,94,5200,9960,11248.8,29,"1","1","2","1","2","1"
"0","subaru","gas","std","four","sedan","4wd","front",97,54.3,2385,"ohcf","four",108,"2bbl",3.62,82,4800,9233,11248.8,24.5,"1","1","2","2","2","1"
"0","subaru","gas","turbo","four","sedan","4wd","front",97,54.3,2510,"ohcf","four",108,"mpfi",3.62,111,4800,11259,11248.8,26.5,"1","1","2","2","2","1"
"0","subaru","gas","std","four","wagon","fwd","front",97,53,2290,"ohcf","four",108,"2bbl",3.62,82,4800,7463,11346.9,30,"1","1","2","1","2","1"
"0","subaru","gas","std","four","wagon","fwd","front",97,53,2455,"ohcf","four",108,"mpfi",3.62,94,5200,10198,11346.9,28,"1","1","2","1","2","1"
"0","subaru","gas","std","four","wagon","4wd","front",96.9,54.9,2420,"ohcf","four",108,"2bbl",3.62,82,4800,8013,11353.44,26,"1","1","2","2","2","1"
"0","subaru","gas","turbo","four","wagon","4wd","front",96.9,54.9,2650,"ohcf","four",108,"mpfi",3.62,111,4800,11694,11353.44,23,"1","1","2","2","2","1"
"1","toyota","gas","std","two","hatchback","fwd","front",95.7,54.5,1985,"ohc","four",92,"2bbl",3.05,62,4800,5348,10093.32,37,"2","2","1","1","2","1"
"1","toyota","gas","std","two","hatchback","fwd","front",95.7,54.5,2040,"ohc","four",92,"2bbl",3.05,62,4800,6338,10093.32,34.5,"2","2","1","1","2","1"
"1","toyota","gas","std","four","hatchback","fwd","front",95.7,54.5,2015,"ohc","four",92,"2bbl",3.05,62,4800,6488,10093.32,34.5,"2","2","1","1","2","1"
"0","toyota","gas","std","four","wagon","fwd","front",95.7,59.1,2280,"ohc","four",92,"2bbl",3.05,62,4800,6918,10792.92,34,"2","2","1","1","2","1"
"0","toyota","gas","std","four","wagon","4wd","front",95.7,59.1,2290,"ohc","four",92,"2bbl",3.05,62,4800,7898,10792.92,29.5,"2","2","1","1","2","1"
"0","toyota","gas","std","four","wagon","4wd","front",95.7,59.1,3110,"ohc","four",92,"2bbl",3.05,62,4800,8778,10792.92,29.5,"2","2","1","1","2","1"
"0","toyota","gas","std","four","sedan","fwd","front",95.7,53,2081,"ohc","four",98,"2bbl",3.19,70,4800,6938,10709.72,33.5,"2","2","1","1","2","1"
"0","toyota","gas","std","four","hatchback","fwd","front",95.7,52.8,2109,"ohc","four",98,"2bbl",3.19,70,4800,7198,10709.72,33.5,"2","2","1","1","2","1"
"0","toyota","diesel","std","four","sedan","fwd","front",95.7,53,2275,"ohc","four",110,"idi",3.27,56,4500,7898,10709.72,35,"2","2","1","1","2","1"
"0","toyota","diesel","std","four","hatchback","fwd","front",95.7,52.8,2275,"ohc","four",110,"idi",3.27,56,4500,7788,10709.72,42.5,"2","2","1","1","2","1"
"0","toyota","gas","std","four","sedan","fwd","front",95.7,53,2094,"ohc","four",98,"2bbl",3.19,70,4800,7738,10709.72,42.5,"2","2","1","1","2","1"
